                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     50,                 5.7445,                 5.4163,                 3.8258,                0.79772,                0.04037,                0.02636,                0.00983,                  6.006,                 5.5673,                 4.1953,              0.0010479,              0.0010479,              0.0010479
                     51,                 5.8307,                 5.3529,                 3.8238,                0.79164,                0.05034,                0.02867,                0.01052,                 5.9679,                 5.8189,                 4.0531,              0.0010438,              0.0010438,              0.0010438
                     52,                 5.7897,                 5.4438,                  3.872,                0.79684,                0.05034,                0.03306,                0.01213,                 5.8297,                 5.5655,                  3.944,              0.0010396,              0.0010396,              0.0010396
                     53,                  5.809,                  5.658,                 3.8814,                0.28078,                0.08221,                0.03113,                0.01095,                  5.819,                 5.8897,                 3.9206,              0.0010355,              0.0010355,              0.0010355
                     54,                 5.7841,                 5.1498,                 3.7663,                0.53505,                0.06544,                0.03563,                 0.0133,                  5.842,                 5.7504,                 4.0171,              0.0010314,              0.0010314,              0.0010314
                     55,                  5.561,                 5.3021,                 3.7025,                 0.7832,                 0.0604,                0.04701,                 0.0148,                  5.875,                 5.4437,                 4.0614,              0.0010273,              0.0010273,              0.0010273
                     56,                 5.5956,                 5.1139,                 3.6938,                0.54396,                0.06376,                0.04308,                0.01588,                 5.8716,                 5.2402,                 4.0647,              0.0010231,              0.0010231,              0.0010231
                     57,                 5.5912,                 5.0167,                  3.757,                0.80663,                0.05369,                0.03762,                0.01375,                  5.789,                 5.0605,                 3.9768,               0.001019,               0.001019,               0.001019
                     58,                 5.5391,                 5.3173,                 3.9037,                0.80853,                0.05201,                0.04002,                0.01502,                  5.713,                 5.0605,                 3.9824,              0.0010149,              0.0010149,              0.0010149
                     59,                 5.4765,                 5.4303,                 3.8464,                0.81019,                0.04698,                0.04402,                0.01721,                 5.6209,                 5.1354,                 3.9205,              0.0010107,              0.0010107,              0.0010107
                     60,                 5.5327,                 5.1104,                 3.7627,                0.54379,                0.06208,                0.04475,                0.01768,                 5.6044,                 5.2859,                 3.9691,              0.0010066,              0.0010066,              0.0010066
                     61,                 5.5533,                 5.2037,                  3.808,                0.30366,                0.06879,                0.04705,                0.01844,                 5.6517,                 5.0254,                 3.9499,              0.0010025,              0.0010025,              0.0010025
                     62,                 5.2092,                 4.9357,                 3.5154,                0.30572,                0.07718,                0.05031,                 0.0192,                 5.7049,                 5.0335,                 3.8883,             0.00099837,             0.00099837,             0.00099837
                     63,                 5.4135,                 4.8298,                 3.6301,                0.79759,                0.05872,                0.04334,                0.01624,                 5.7721,                 5.2643,                 3.9677,             0.00099425,             0.00099425,             0.00099425
                     64,                 5.4549,                 4.9565,                 3.6468,                0.80083,                 0.0604,                0.04614,                0.01658,                 5.7518,                 5.0686,                 3.9132,             0.00099013,             0.00099013,             0.00099013
                     65,                 5.4714,                 4.8907,                  3.519,                0.80403,                0.06879,                0.04419,                0.01569,                 5.7428,                 5.0403,                 3.9327,               0.000986,               0.000986,               0.000986
                     66,                 5.5663,                 4.8093,                 3.4882,                0.29695,                 0.0755,                0.04506,                0.01643,                 5.6795,                 4.9823,                 3.8506,             0.00098187,             0.00098187,             0.00098187
                     67,                  5.454,                 4.7528,                 3.4885,                0.30677,                0.06879,                0.04608,                0.01647,                 5.6473,                 4.9429,                 3.8222,             0.00097775,             0.00097775,             0.00097775
                     68,                 5.4291,                 4.7241,                 3.5045,                0.04557,                0.07047,                0.04101,                0.01475,                 5.6265,                 5.0731,                 3.8482,             0.00097362,             0.00097362,             0.00097362
                     69,                 5.1381,                 4.6072,                 3.4183,                0.06974,                0.07913,                0.04181,                0.01551,                 5.6031,                 5.1727,                 3.8166,              0.0009695,              0.0009695,              0.0009695
                     70,                 5.3421,                 4.5234,                 3.5349,                0.56171,                0.06208,                 0.0474,                0.01812,                 5.5452,                  5.305,                  3.806,             0.00096537,             0.00096537,             0.00096537
